Reference, Quantity, Value, Footprint, Datasheet, MPN, ConradPN
"C1, ", 1,4.7μF, Capacitors_SMD:C_0805, 
"C2, ", 1,22μF, Capacitors_SMD:C_1210, ,,"1280048 - 62 "
"C4, ", 1,0.1μF, Capacitors_SMD:C_0805, ,"Value",
"L1, ", 1,2.2μΗ, PowerSwap-Footprints:SRN3015, ,"SRN30152R2M","1056407-62"
"P1, ", 1,Battery, Pin_Headers:Pin_Header_Straight_1x02, 
"P2, ", 1,Vout, Pin_Headers:Pin_Header_Straight_1x02, 
"P3, P4, P5, P8, ", 4,TST, Pin_Headers:Pin_Header_Straight_1x01, 
"P6, P7, P9, ", 3,TST, Measurement_Points:Measurement_Point_Square-SMD-Pad_Small, 
"R1, ", 1,2.1MΩ, Resistors_SMD:R_0805, 
"R2, ", 1,215KΩ, Resistors_SMD:R_0805, ,,"440742 - 62 "
"R3, R4, R5, ", 3,0, Resistors_SMD:R_0805, 
"U1, ", 1,TPS63030, PowerSwap-Footprints:TPS63030, ,"TPS63030",